roses tulipanes girasoles diente_de_león margarita k_limit affected_frecuencies
0.89040 0.00360 0.10095 0.00479 0.00027 2 3
0.99931 0.00028 0.00034 0.00006 0.00002 5 21
0.82857 0.00401 0.00441 0.15479 0.00821 9 70
0.42431 0.01458 0.00802 0.50266 0.05042 14 165
0.07928 0.08976 0.18760 0.59854 0.04481 20 330
0.07179 0.58375 0.23124 0.10220 0.01103 27 597
0.02872 0.82362 0.02414 0.12090 0.00262 35 994
0.04432 0.76720 0.01596 0.16390 0.00862 44 1561
0.01918 0.88514 0.01236 0.07887 0.00446 54 2338
0.06280 0.77164 0.02508 0.13738 0.00310 65 3373
0.01659 0.84282 0.04436 0.09355 0.00268 77 4726
0.17381 0.56178 0.04081 0.21618 0.00742 90 6447
0.04226 0.58424 0.06625 0.30136 0.00589 104 8587
0.10119 0.64968 0.03762 0.20597 0.00554 119 10634
