roses tulipanes girasoles diente_de_león margarita k_limit affected_frecuencies
0.94094 0.00459 0.05263 0.00180 0.00005 170 0
0.14256 0.17704 0.01179 0.39918 0.26943 152 21
0.50465 0.06132 0.00396 0.42316 0.00691 135 481
0.50935 0.04250 0.00965 0.41733 0.02117 119 1592
0.06020 0.00693 0.00144 0.92810 0.00332 104 3729
0.06302 0.00810 0.00115 0.92363 0.00410 90 5869
0.21947 0.20642 0.01422 0.54984 0.01005 77 7592
0.12777 0.09066 0.00759 0.76464 0.00934 65 8937
0.28955 0.09366 0.02554 0.57895 0.01230 54 9980
0.22015 0.02994 0.00224 0.73935 0.00832 44 10757
0.10460 0.01889 0.00305 0.86289 0.01057 35 11322
0.16054 0.01080 0.00103 0.82147 0.00616 27 11721
0.12526 0.00698 0.00090 0.86305 0.00381 20 11986
0.30702 0.02816 0.00708 0.64442 0.01331 14 12153
0.15392 0.03234 0.01048 0.78596 0.01729 9 12248
0.19093 0.01859 0.00262 0.78166 0.00620 5 12295
0.08207 0.02926 0.00249 0.88032 0.00587 2 12315
